year,dna,tag_code
2019,1283,3DD.003D2B7A92
2019,1283,3DD.003D2B7F20
2019,1284,3DD.003D2B7ACA
2019,1284,3DD.003D2B7F0D
2019,1285,3DD.003D2B7A8F
2019,1285,3DD.003D2B7F15
2019,1286,3DD.003D2B7ACE
2019,1286,3DD.003D2B7EF0
2019,1287,3DD.003D2B7AEB
2019,1287,3DD.003D2B7F1D
2019,1288,3DD.003D2B7AB9
2019,1288,3DD.003D2B7F25
2019,1289,3DD.003D2B7AB0
2019,1289,3DD.003D2B7EE1
2019,1290,3DD.003D2B7A90
2019,1290,3DD.003D2B7EE7
2019,1291,3DD.003D2B7AB6
2019,1291,3DD.003D2B7EDC
2019,1292,3DD.003D2B7ABE
2019,1292,3DD.003D2B7EF5
2019,1293,3DD.003D2B7AA8
2019,1293,3DD.003D2B7EE6
2019,1294,3DD.003D2B7AAA
2019,1294,3DD.003D2B7F1A
2019,1295,3DD.003D2B7AD0
2019,1295,3DD.003D2B7F14
2019,1296,3DD.003D2B7AE2
2019,1296,3DD.003D2B7F2B
2019,1297,3DD.003D2B7AC2
2019,1297,3DD.003D2B7F2C
2019,1298,3DD.003D2B7AA0
2019,1298,3DD.003D2B7F22
2019,1299,3DD.003D2B7ADC
2019,1299,3DD.003D2B7F39
2019,1300,3DD.003D2B7ABA
2019,1300,3DD.003D2B7EDE
2019,1301,3DD.003D2B7ACF
2019,1301,3DD.003D2B7EE3
2019,1302,3DD.003D2B7A95
2019,1302,3DD.003D2B7F30
2019,1303,3DD.003D2B7AAF
2019,1303,3DD.003D2B7F03
2019,1304,3DD.003D2B7A98
